price_datetime;price;price_promo;sku_status;sku_barcode;sku_article;sku_name;sku_category;sku_country;sku_weight_min;sku_volume_min;sku_quantity_min;sku_link;sku_images
22.25.41 2023-01-17;305;275;1;8005852751058;15131;Schesir Kitten Тунец Пауч;Главная|Каталог|Товары и корма для кошек|Корм влажный для кошек|Schesir|Паучи;Таиланд;100г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_vlazhnyy_dlya_koshek/schesir/pauchi/schesir_kitten_tunets_pauch.html;['/upload/resize_cache/iblock/88c/500_500_1dfc9401eed6705ea741f22b962e86776/Schesir-Kitten-Tunets-Pauch-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/88c/500_500_1dfc9401eed6705ea741f22b962e86776/Schesir-Kitten-Tunets-Pauch-kupit-Zootovary.Ru.jpg']
22.25.41 2023-01-17;404;384;1;4011905062853;22644;TRIXIE 6285 Когтерез д/мелких животных 8см (блистер);Главная|Каталог|Товары и корма для грызунов|Когтерез;Китай;;;1шт;https://zootovary.ru/catalog/tovary-i-korma-dlya-gryzunov/kogterez/trixie_6285_kogterez_d_melkikh_zhivotnykh_8sm_blister.html;['/upload/resize_cache/iblock/2d4/450_450_1dfc9401eed6705ea741f22b962e86776/melkikh-zhivotnykh-8sm-_blister_-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/2d4/450_450_1dfc9401eed6705ea741f22b962e86776/melkikh-zhivotnykh-8sm-_blister_-kupit-Zootovary.Ru.jpg']
22.25.42 2023-01-17;457;434;1;7613036544771;78437;PRO PLAN Delikate 7 + с комплексом OPTIRENAL сухой корм для кошек старше 7 лет с чувствительным пищеварением Индейка;Главная|Каталог|Товары и корма для кошек|Корм сухой для кошек|Pro Plan|Пожилые;Франция;400гр;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_sukhoy_dlya_koshek/pro-plan/pozhilye/pro_plan_delikate_7_s_kompleksom_optirenal_sukhoy_korm_dlya_koshek_starshe_7_let_s_chuvstvitelnym_pi.html;['/upload/resize_cache/iblock/372/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.png', '/upload/resize_cache/iblock/372/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.png', '/upload/resize_cache/iblock/119/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/dd3/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.jpg']
22.25.42 2023-01-17;1588;1509;1;7613036517188;74027;PRO PLAN Delikate 7 + с комплексом OPTIRENAL сухой корм для кошек старше 7 лет с чувствительным пищеварением Индейка;Главная|Каталог|Товары и корма для кошек|Корм сухой для кошек|Pro Plan|Пожилые;Франция;1,5 кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_sukhoy_dlya_koshek/pro-plan/pozhilye/pro_plan_delikate_7_s_kompleksom_optirenal_sukhoy_korm_dlya_koshek_starshe_7_let_s_chuvstvitelnym_pi.html;['/upload/resize_cache/iblock/372/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.png', '/upload/resize_cache/iblock/372/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.png', '/upload/resize_cache/iblock/119/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/dd3/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.jpg']
22.25.42 2023-01-17;2987;2838;1;7613036517218;72593;PRO PLAN Delikate 7 + с комплексом OPTIRENAL сухой корм для кошек старше 7 лет с чувствительным пищеварением Индейка;Главная|Каталог|Товары и корма для кошек|Корм сухой для кошек|Pro Plan|Пожилые;Франция;3 кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_sukhoy_dlya_koshek/pro-plan/pozhilye/pro_plan_delikate_7_s_kompleksom_optirenal_sukhoy_korm_dlya_koshek_starshe_7_let_s_chuvstvitelnym_pi.html;['/upload/resize_cache/iblock/372/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.png', '/upload/resize_cache/iblock/372/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.png', '/upload/resize_cache/iblock/119/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/dd3/480_480_1dfc9401eed6705ea741f22b962e86776/PRO-PLAN-Delikate-7-_-s-kompleksom-OPTIRENAL-sukhoy-korm-dlya-koshek-starshe-7-let-s-chuvstvitelnym-pishchevareniem-Indeyka-kupit-Zootovary.Ru.jpg']
22.25.43 2023-01-17;1420;;1;4607177767857;20040;Polidex Гелабон Плюс 200 Таб.Для Кошек - Профилактика Заболеваний Хрящевых Поверхностей, Предотвращение Хрупкости Костей 7857;Главная|Каталог|Товары и корма для кошек|Витамины|Polidex;Poccия;40г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/vitaminy/polidex/polidex_gelabon_plyus_200_tab_dlya_koshek_profilaktika_zabolevaniy_khryashchevykh_poverkhnostey_pred.html;['/upload/resize_cache/iblock/a9c/450_450_1dfc9401eed6705ea741f22b962e86776/Polidex-Gelabon-Plyus-200-Tab.Dlya-Koshek-_-Profilaktika-Zabolevaniy-KHryashchevykh-Poverkhnostey_-Predotvrashchenie-KHrupkosti-Kostey-7857-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/a9c/450_450_1dfc9401eed6705ea741f22b962e86776/Polidex-Gelabon-Plyus-200-Tab.Dlya-Koshek-_-Profilaktika-Zabolevaniy-KHryashchevykh-Poverkhnostey_-Predotvrashchenie-KHrupkosti-Kostey-7857-kupit-Zootovary.Ru.jpg']
22.25.43 2023-01-17;1510;;1;4607048071724up;68897up;НАТУРАЛЬНАЯ ФОРМУЛА Рубец говяжий в желе для собак;Главная|Каталог|Товары и корма для собак|Корм влажный для собак|Натуральная Формула;Poccия;10х300г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm_vlazhnyy_dlya_sobak/naturalnaya-formula/naturalnaya_formula_rubets_govyazhiy_v_zhele_dlya_sobak.html;['/upload/resize_cache/iblock/f84/500_500_1dfc9401eed6705ea741f22b962e86776/NATURALNAYA-FORMULA-Rubets-govyazhiy-v-zhele-dlya-sobak-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/f84/500_500_1dfc9401eed6705ea741f22b962e86776/NATURALNAYA-FORMULA-Rubets-govyazhiy-v-zhele-dlya-sobak-kupit-Zootovary.Ru.jpg']
22.25.43 2023-01-17;631;599;1;4011100158405;z10010;Chappi Говядина По Домашнему;Главная|Каталог|Товары и корма для собак|Корм сухой для собак|Chappi;Poccия;2.5кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm_sukhoy_dlya_sobak/chappi/chappi_govyadina_po_domashnemu.html;['/upload/resize_cache/iblock/75f/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/75f/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/2a6/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/0ab/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg']
22.25.43 2023-01-17;163;155;1;5000159425476;z10007;Chappi Говядина По Домашнему;Главная|Каталог|Товары и корма для собак|Корм сухой для собак|Chappi;Poccия;600г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm_sukhoy_dlya_sobak/chappi/chappi_govyadina_po_domashnemu.html;['/upload/resize_cache/iblock/75f/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/75f/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/2a6/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/0ab/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg']
22.25.43 2023-01-17;3290;3126;1;5000159380829;z10016;Chappi Говядина По Домашнему;Главная|Каталог|Товары и корма для собак|Корм сухой для собак|Chappi;Poccия;15кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm_sukhoy_dlya_sobak/chappi/chappi_govyadina_po_domashnemu.html;['/upload/resize_cache/iblock/75f/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/75f/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/2a6/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/0ab/450_450_1dfc9401eed6705ea741f22b962e86776/Chappi-Govyadina-Po-Domashnemu-kupit-Zootovary.Ru.jpg']
22.25.43 2023-01-17;281;267;0;8005852015792;56085;Schesir Консервы для Кошек Куриное Филе с Ветчиной Пауч;Главная|Каталог|Товары и корма для кошек|Корм влажный для кошек|Schesir|Паучи;Таиланд;100г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_vlazhnyy_dlya_koshek/schesir/pauchi/schesir_konservy_dlya_koshek_kurinoe_file_s_vetchinoy_pauch.html;['/upload/resize_cache/iblock/d31/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Kurinoe-File-s-Vetchinoy-Pauch-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/d31/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Kurinoe-File-s-Vetchinoy-Pauch-kupit-Zootovary.Ru.jpg']
